toolkit,now,run,base_sym,quote_sym,top_bid_xch,top_ask_xch,bid_acct_bal_BTC,bid_acct_bal_USD,ask_acct_bal_BTC,ask_acct_bal_USD,top_bid_prc_USD,top_ask_prc_USD,top_bid_fee,top_ask_fee,bid_inc_fees_USD,ask_inc_fees_USD,profit_inc_fees_USD,pro_rata_bid_USD,pro_rata_ask_USD,PRORATA_PROFIT_USD,MAXPROFIT_USD,TTL_BALANCE_BTC_IN,TTL_BALANCE_US_IN,proceed,description
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_49_958806,817,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.39,7036.68,0.0007,0.00075,7033.463127,7041.961471103328,-8.498344103328236,70.33463127,70.41961471103329,-0.08498344103328236,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_50_258353,818,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.39,7036.68,0.0007,0.00075,7033.463127,7041.961471103328,-8.498344103328236,70.33463127,70.41961471103329,-0.08498344103328236,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_50_570818,819,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.39,7036.68,0.0007,0.00075,7033.463127,7041.961471103328,-8.498344103328236,70.33463127,70.41961471103329,-0.08498344103328236,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_50_881219,820,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.39,7037.05,0.0007,0.00075,7033.463127,7042.331748811609,-8.868621811609046,70.33463127,70.4233174881161,-0.08868621811609045,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_51_172516,821,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7037.15,0.0007,0.00075,7032.973469999999,7042.431823867901,-9.458353867901678,70.32973469999999,70.424318238679,-0.09458353867901678,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_51_465248,822,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.27,0.0007,0.00075,7032.973469999999,7041.55116337253,-8.57769337253103,70.32973469999999,70.4155116337253,-0.0857769337253103,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_51_755179,823,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.74,0.0007,0.00075,7032.973469999999,7042.0215161371025,-9.048046137103483,70.32973469999999,70.42021516137103,-0.09048046137103484,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_52_032455,824,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.75,0.0007,0.00075,7032.973469999999,7042.031523642732,-9.058053642733285,70.32973469999999,70.42031523642733,-0.09058053642733285,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_52_316104,825,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.7,0.0007,0.00075,7032.973469999999,7041.981486114586,-9.008016114587008,70.32973469999999,70.41981486114587,-0.09008016114587009,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_52_599748,826,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.76,0.0007,0.00075,7032.973469999999,7042.041531148362,-9.068061148363086,70.32973469999999,70.42041531148362,-0.09068061148363085,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_52_887335,827,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7037.96,7037.6,0.0007,0.0008,7033.033428,7043.2345876701365,-10.201159670136803,70.33033428,70.43234587670136,-0.10201159670136804,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_53_178312,828,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.24,7037.48,0.0007,0.00075,7033.3132319999995,7042.762071553665,-9.448839553665493,70.33313231999999,70.42762071553665,-0.09448839553665493,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_53_483086,829,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.99,7037.48,0.0007,0.00075,7033.063407,7042.762071553665,-9.698664553665367,70.33063407,70.42762071553665,-0.09698664553665368,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_53_785668,830,BTC,USDT,HitBtc,Kucoin,0.0909899906393236,640.27835905,0.0460393368543085,323.83839345,7038.37,7037.6,0.0007,0.0008,7033.443141,7043.2345876701365,-9.791446670136793,70.33443141,70.43234587670136,-0.09791446670136793,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_54_174564,831,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.33,7037.53,0.0007,0.00075,7033.403168999999,7042.812109081811,-9.408940081812034,70.33403168999999,70.42812109081811,-0.09408940081812034,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_54_462589,832,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.0,7037.3,0.0007,0.00075,7033.073399999999,7042.5819364523395,-9.508536452340195,70.33073399999999,70.42581936452339,-0.09508536452340195,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_54_750217,833,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.9,0.0007,0.00075,7032.973469999999,7042.18163622717,-9.208166227171205,70.32973469999999,70.4218163622717,-0.09208166227171205,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_55_053510,834,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.7,0.0007,0.00075,7032.973469999999,7041.981486114586,-9.008016114587008,70.32973469999999,70.41981486114587,-0.09008016114587009,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_55_353914,835,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.57,0.0007,0.00075,7032.973469999999,7041.851388541406,-8.87791854140687,70.32973469999999,70.41851388541406,-0.0887791854140687,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_55_642868,836,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.53,0.0007,0.00075,7032.973469999999,7041.811358518889,-8.837888518890395,70.32973469999999,70.41811358518889,-0.08837888518890395,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_55_981976,837,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.84,0.0007,0.00075,7032.973469999999,7042.121591193395,-9.148121193396037,70.32973469999999,70.42121591193396,-0.09148121193396037,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_56_257831,838,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.9,7036.64,0.0007,0.00075,7032.973469999999,7041.921441080811,-8.94797108081184,70.32973469999999,70.41921441080811,-0.0894797108081184,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_56_543578,839,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7037.93,7037.02,0.0007,0.00075,7033.003449,7042.301726294721,-9.298277294721629,70.33003449,70.42301726294721,-0.0929827729472163,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_56_840639,840,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7038.64,7037.02,0.0007,0.00075,7033.712952,7042.301726294721,-8.588774294721588,70.33712952,70.42301726294721,-0.08588774294721589,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_57_130397,841,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7039.18,7037.02,0.0007,0.00075,7034.252574,7042.301726294721,-8.049152294721353,70.34252574,70.42301726294721,-0.08049152294721353,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
<k_toolKit.Toolkit object at 0x7f9602a98588>,20_04_20__13_49_57_419355,842,BTC,USDT,HitBtc,Binance,0.0909899906393236,640.27835905,0.0527752586708696,371.22644698,7039.52,7037.02,0.0007,0.00075,7034.592336000001,7042.301726294721,-7.7093902947208335,70.34592336000001,70.42301726294721,-0.07709390294720833,-0.06058027626902003,0.1898045861645017,1335.3431994799998,False,threshold
